100 4
1 1 0.7931970105800651
1 2 0.12714455085530674
1 3 1.875847146422927
1 4 -3.4330519664477026
2 1 -0.5710145998165241
2 2 2.5514290793398406
2 3 -0.9129519120378281
2 4 1.286186976824412
3 1 -0.4053311662757307
3 2 -0.17542529505098164
3 3 1.8501926501888686
3 4 1.1202000173776328
4 1 1.7983784328495054
4 2 -2.0688668394710183
4 3 -1.9136554845062468
4 4 1.8883131544935652
1 5 0.10069871824437113
2 6 0.24365773739291757
3 7 0.0788685915034166
4 8 0.26344225169622204
5 5 1.453708178697547
5 6 -1.886711709987554
5 7 0.9257658866896235
5 8 0.8773790924293577
6 5 -1.3370510686792774
6 6 1.7508711084447675
6 7 -1.5405547561999948
6 8 3.143409452713124
7 5 -1.1429749327962042
7 6 0.7686342222116654
7 7 2.5714599742862387
7 8 -2.2946719859109006
8 5 2.2077533119068864
8 6 0.1493790425619533
8 7 -0.5226714757238976
8 8 -1.2396476147755384
5 9 0.2140988514883167
6 10 0.21191688460303024
7 11 0.16725057811150915
8 12 0.19086890718583147
5 3 0.18488218327206776
5 4 0.1144223121953968
6 3 0.12594369224281787
6 4 0.035388205469605014
7 3 0.12432049167108221
7 4 0.16361755786078058
8 3 0.15220145258279594
8 4 0.12556016151281307
9 9 -0.3195747840253909
9 10 2.87473141711478
9 11 -0.7569220890196733
9 12 -0.9688966498051441
10 9 -1.2237578960435036
10 10 -1.6581592749644674
10 11 3.4519967064093464
10 12 1.5826049807120601
11 9 2.8208458738081568
11 10 -1.3044236519511885
11 11 -0.13086198915603828
11 12 -0.3879659735398538
12 9 -0.6472653763577169
12 10 0.7378699251887703
12 11 -1.7428121251682975
12 12 1.5861460971955212
9 13 0.2760074948524137
10 14 0.22237395098237603
11 15 0.062391178380883656
12 16 0.03186033085739857
9 7 0.269570816853357
9 8 0.028028855754953595
10 7 0.21176835790975607
10 8 0.2602232409986429
11 7 0.0688736682096116
11 8 0.15458656683902725
12 7 0.09533667421819107
12 8 0.1376670247426242
13 13 0.8152342484297741
13 14 2.627070356097205
13 15 -0.4524958194386266
13 16 -2.495776492475184
14 13 -0.37267110686181715
14 14 -0.05526648520142732
14 15 2.6851230757629168
14 16 -2.7610027050697
15 13 -1.102235135900544
15 14 1.5234465195478093
15 15 -0.7483082065623562
15 16 1.8514814300096742
16 13 1.8105036317421725
16 14 -1.6376276317779346
16 15 0.10150332811053449
16 16 1.5557505396336333
13 17 0.13292682844704895
14 18 0.1941923317956485
15 19 0.04609182914961929
16 20 0.17803978870540135
13 11 0.03625436538642041
13 12 0.25100515344201313
14 11 0.002380271016263835
14 12 0.19116648854265236
15 11 0.12027242310598907
15 12 0.20790451258793932
16 11 0.2094396464474598
16 12 0.04854500572995885
17 17 3.203193942336062
17 18 -0.23225330569914096
17 19 0.4093495784043058
17 20 -1.3484079750780413
18 17 1.0288534292559828
18 18 -2.144108219383667
18 19 2.7868278633638357
18 20 2.3173779042775506
19 17 -0.5913255891385871
19 18 1.0190536145255762
19 19 -1.4652792215875912
19 20 1.2748930562797933
20 17 -2.2140418871779732
20 18 1.655137934141793
20 19 0.5631721539662444
20 20 -0.8229080929617417
17 21 0.12864919235629077
18 22 0.2694200765510674
19 23 0.09911702578086523
20 24 0.09850538326644816
17 15 0.053248231122259515
17 16 0.1747231967754606
18 15 0.059778092476940166
18 16 0.26543051085928565
19 15 0.01754899358844044
19 16 0.07493602360749115
20 15 0.06955106922597289
20 16 0.17695845748297032
21 21 -1.756866573930497
21 22 1.7974451050906746
21 23 1.3008620233033958
21 24 -0.11184080446274663
22 21 -0.70914899553806
22 22 -3.048674470207216
22 23 0.6127236138078604
22 24 3.1201577800611418
23 21 0.317616390619242
23 22 0.2679226777669769
23 23 2.0118249759634796
23 24 -2.2378551788497547
24 21 2.148994642538723
24 22 0.2604186748316714
24 23 -1.531099858452097
24 24 0.8368186350843098
21 25 0.258613490825339
22 26 0.25978871256483316
23 27 0.07075526215186198
24 28 0.10059114982718531
21 19 0.061047321432077604
21 20 0.10300946666464743
22 19 0.1663759465812227
22 20 0.21029846216879483
23 19 0.02226107230451233
23 20 0.04132048175927911
24 19 0.1852968329773034
24 20 0.13023948375242575
25 25 2.262162732254993
25 26 1.8755866246798545
25 27 -1.6888189828558513
25 28 -1.7802806879918127
26 25 -1.124047941393886
26 26 -0.07077202437433454
26 27 -0.8067131432248643
26 28 2.679511675925252
27 25 1.5855304914222592
27 26 -2.362320246294595
27 27 1.7586048995915615
27 28 -0.0482809171839164
28 25 -1.7435145153828882
28 26 0.16463107592332626
28 27 2.449926138814651
28 28 0.9351699054112469
25 29 0.17967019839970425
26 30 0.14143089477885654
27 31 0.11517802443054674
28 32 0.03852027631416883
25 23 0.2146858779498156
25 24 0.02746796027989675
26 23 0.1028329057571387
26 24 0.23648208055035905
27 23 0.1302819914819933
27 24 0.2547598548212349
28 23 0.07089278831478452
28 24 0.2083617161126233
29 29 -1.5483943103755262
29 30 3.4879125568791607
29 31 1.4106004076812764
29 32 -1.3702123196725304
30 29 2.226541478171736
30 30 -0.16220300552202616
30 31 -0.4491794901181606
30 32 -0.3376716620520327
31 29 -0.13298932656822623
31 30 -0.28906351848964235
31 31 -2.473748227597115
31 32 2.7304941724886653
32 29 0.24462190235387338
32 30 -1.6281052509987448
32 31 2.178935319644463
32 32 0.1561255562994707
29 33 0.1416139894504366
30 34 0.16568485019503273
31 35 0.11182873499072195
32 36 0.11841027734297353
29 27 0.17886299638587164
29 28 0.0028627271287527734
30 27 0.1253026049960328
30 28 0.22637219399293917
31 27 0.19792486569370465
31 28 0.020593680156794237
32 27 0.13741681873000722
32 28 0.14350179174092814
33 33 -0.8899698376010238
33 34 1.332483060054031
33 35 2.2022249349722527
33 36 -1.9348619505900237
34 33 -1.6449707430850242
34 34 0.39634522854563253
34 35 0.06336625243680055
34 36 2.3405847114643286
35 33 1.8996419203338202
35 34 2.1824632527625503
35 35 -0.5114838769108733
35 36 -2.2844723357935823
36 33 1.8648096627867903
36 34 -2.5341065399498954
36 35 0.236842624072595
36 36 1.254972243942841
33 37 0.24695431278727667
34 38 0.23063432474904152
35 39 0.1742856471084982
36 40 0.29209001207525537
33 31 0.09325670842173776
33 32 0.24840497960943828
34 31 0.18434675981421092
34 32 0.2356291805898133
35 31 0.04154746705720611
35 32 0.1697713725935964
36 31 0.23704671352230955
36 32 0.13690084582763498
37 37 -0.33683532344821654
37 38 2.7981428043144674
37 39 -1.5473804193003289
37 40 -0.7260413145918228
38 37 1.4971874463997434
38 38 -0.7297362585961117
38 39 -1.655224006417737
38 40 2.263477597848268
39 37 2.2804366280676787
39 38 -2.127988758667082
39 39 2.3086513797458346
39 40 -0.9727629684081524
40 37 -2.0246827641790164
40 38 1.2445096976458974
40 39 1.2271036072993713
40 40 0.4778374619594012
37 41 0.2788840410955423
38 42 0.2681693744609616
39 43 0.2049141630415148
40 44 0.19028263742752927
37 35 0.20371955216184998
37 36 0.029465507314378823
38 35 0.22864594532306964
38 36 0.23761740146369006
39 35 0.2935277475532165
39 36 0.2894062522420515
40 35 0.23768798254350065
40 36 0.15410315647891012
41 41 -1.3232879580026307
41 42 2.498511086545639
41 43 -0.9796717550561249
41 44 1.1269396560048395
42 41 0.14661566075254745
42 42 -0.7503579272674561
42 43 -0.05638218607764343
42 44 2.1165824128978423
43 41 0.11961338762639634
43 42 -1.0206085960717468
43 43 3.624462456149476
43 44 -0.9177013041770664
44 41 2.661998686360072
44 42 -0.1669796191484017
44 43 -0.2018703752900698
44 44 -2.7217886315199773
41 45 0.06771383856320982
42 46 0.055459457539915234
43 47 0.237650309569852
44 48 0.25210829424302156
41 39 0.13340040533903055
41 40 0.05116087916543148
42 39 0.060630158255148364
42 40 0.1572256742212915
43 39 0.16274550623108094
43 40 0.2505368721355087
44 39 0.27920774409474747
44 40 0.22350663988475786
45 45 -0.1537543676011031
45 46 -0.6114667466324963
45 47 1.0943126584861065
45 48 1.741463068150678
46 45 -0.4121761745931777
46 46 0.9549600131856425
46 47 2.053099562165669
46 48 -2.7693425991646246
47 45 -1.7896200829581106
47 46 2.2867510670925344
47 47 -2.2384616236526735
47 48 1.2177312231584854
48 45 3.288391042350414
48 46 -0.9967416271177396
48 47 0.45199168303099674
48 48 -0.5983082505492608
45 49 0.2693741315339336
46 50 0.26728349968125104
47 51 0.1761941013857895
48 52 0.09460551766138782
45 43 0.13946839595504096
45 44 0.08145681810270264
46 43 0.23649076302764827
46 44 0.23594153113090033
47 43 0.21084944107359566
47 44 0.11498379737833297
48 43 0.02846662064118035
48 44 0.007500256655390047
49 49 3.1883533548791343
49 50 -1.1859281451250303
49 51 0.9243578292569834
49 52 -0.9420674032357641
50 49 -1.747574000004633
50 50 -0.5528351237986092
50 51 -0.26872722785057757
50 52 2.939069158094874
51 49 1.4090824767258237
51 50 1.516326640398072
51 51 -0.9844528545668301
51 52 -0.6535692207688082
52 49 -2.418078767026708
52 50 1.6340417427370493
52 51 2.0874463736788993
52 52 -0.9743021406043337
49 53 0.28586117578139164
50 54 0.04249166282808947
51 55 0.1072963197946188
52 56 0.02269001708169702
49 47 0.19158958303882256
49 48 0.17370675426249774
50 47 0.015457009043127523
50 48 0.041449760018679484
51 47 0.20978770411629613
51 48 0.14626467236297513
52 47 0.27311354553282813
52 48 0.274053847101503
53 53 -0.6638964169907211
53 54 2.159364365315532
53 55 3.1291435247711177
53 56 -1.72744699976473
54 53 2.582387809935316
54 54 -0.6388152088174324
54 55 -1.7348265633316624
54 56 -0.2830576065864698
55 53 0.6344267693767958
55 54 -0.9879311672380818
55 55 2.5879246101329136
55 56 0.5756129235732489
56 53 -1.580027702497152
56 54 1.3846117070263866
56 55 -1.4518915576833717
56 56 1.383579269719612
53 57 0.04220813262188914
54 58 0.12185359151960441
55 59 0.22983332538658716
56 60 0.12440255635701869
53 51 0.013490071435765416
53 52 0.115453897682782
54 51 0.10667883803568008
54 52 0.27619622590551596
55 51 0.17625527685361916
55 52 0.016069710969236903
56 51 0.29836622192742523
56 52 0.03320666622159807
57 57 -1.0962187654562656
57 58 3.495735832448334
57 59 -1.7227314070468838
57 60 0.0428201616824829
58 57 -0.05418596235245592
58 58 0.8638570308900506
58 59 2.4199700943151052
58 60 -1.748950707852208
59 57 2.936513279760198
59 58 -1.7386636624350063
59 59 0.5765600152212101
59 60 -0.14302896994824996
60 57 -1.0813234544448889
60 58 -0.5601574615789736
60 59 -0.3183772194955918
60 60 2.2912392162625266
57 61 0.045005554845445724
58 62 0.05794748620850092
59 63 0.17769802991551267
60 64 0.0035936415811499644
57 55 0.18384973107121402
57 56 0.1990149926507954
58 55 0.2904193770177394
58 56 0.27421531819611916
59 55 0.1908366600904288
59 56 0.04700083081620412
60 55 0.2184106697533926
60 56 0.007437102108431404
61 61 -0.936365267061462
61 62 -2.7666221106029925
61 63 0.452902084549525
61 64 3.338636444686371
62 61 1.973957333078155
62 62 1.2575519557111234
62 63 -0.5307352934125159
62 64 -0.34328478595394607
63 61 -2.1855019537236076
63 62 1.994230318473851
63 63 0.657679487512406
63 64 -0.0772062813328423
64 61 1.6026753434357717
64 62 -0.7624796386341891
64 63 1.5783187792376614
64 64 -2.0726597643856737
61 65 0.10671352085738454
62 66 0.16998789663514477
63 67 0.25212930159016805
64 68 0.2722688346802575
61 59 0.16962909436970927
61 60 0.23955477926443539
62 59 0.01618188248182457
62 60 0.008374808669483745
63 59 0.2430033408384788
63 60 0.09570606792665666
64 59 0.23561648519453202
64 60 0.19327370469175126
65 65 -1.3544626144669445
65 66 2.0037583857638053
65 67 0.6931852256797335
65 68 0.0028987575210094314
66 65 -0.25984604384687066
66 66 -0.2041243131089473
66 67 2.3809213656479917
66 68 -3.6006436264039476
67 65 0.13033379247676322
67 66 -0.6254172046153267
67 67 0.6475025850872177
67 68 3.0007423853228983
68 65 2.2037295077055044
68 66 0.44581564749800623
68 67 -1.800112303490119
68 68 -1.299508612167461
65 69 0.09303620973887132
66 70 0.06825012268708297
67 71 0.2264359856322118
68 72 0.25264706908633483
65 63 0.09830832098408852
65 64 0.1210717652608594
66 63 0.0499189008113057
66 64 0.05264174422477401
67 63 0.029292235549984967
67 64 0.07530921532320016
68 63 0.1035293747593101
68 64 0.1978911569400213
69 69 0.1324772827782883
69 70 -2.51980130250168
69 71 0.998661217229822
69 72 2.0223641123118754
70 69 2.1579830675490372
70 70 0.038163468717939394
70 71 0.20731073959744586
70 72 -0.40458915894462555
71 69 -1.2726968164114054
71 70 2.1808301532690084
71 71 2.393316444755738
71 72 -1.0462557042162792
72 69 0.49549778274578354
72 70 0.31406444063546285
72 71 -3.5901802353171353
72 72 1.4620879349159315
69 73 0.2100284382734279
70 74 0.04405883200784515
71 75 0.1747052551919043
72 76 0.013062667238953262
69 67 0.09423185822146385
69 68 0.019444379495294806
70 67 0.17055930685910384
70 68 0.09370024316515055
71 67 0.09908189165619063
71 68 0.06486908742074382
72 67 0.20428832178540604
72 68 0.013492844613018385
73 73 0.12194420734970797
73 74 2.0343699562239914
73 75 -1.1754196763805274
73 76 1.232938242227381
74 73 1.9588162024145495
74 74 -1.994732109974202
74 75 0.7805106405881492
74 76 -0.557936728624155
75 73 1.2982998721837784
75 74 1.2149812694968114
75 75 0.5630915700976779
75 76 -3.535791829404764
76 73 -2.0408538875503823
76 74 -0.9034795823810617
76 75 2.0430745103236316
76 76 1.9902337741128417
73 77 0.2153012783410443
74 78 0.09390550201743324
75 79 0.2227246579944711
76 80 0.1389920216545944
73 71 0.09417406423198531
73 72 0.14483074579969824
74 71 0.23167120620376813
74 72 0.08924323937668459
75 71 0.23739870699718768
75 72 0.2794538812704523
76 71 0.02217512093977625
76 72 0.13737961381399788
77 77 0.724002534734085
77 78 -0.4804581869579619
77 79 -0.9058268057176597
77 80 3.9211121518848278
78 77 1.6125218044939555
78 78 -0.6570074800597221
78 79 1.1331655964361966
